fir_id,crime_type,date,location_id,status,description
FIR-1001,Narcotics,2025-07-11,77,Under Investigation,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1002,Theft,2026-01-07,43,Completed,Report of theft of gold necklace from a residential area during night hours.
FIR-1003,Burglary,2025-10-01,92,Pending,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1004,Narcotics,2025-10-10,12,Completed,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1005,Theft,2024-08-22,80,Pending,Report of theft of gold necklace from a residential area during night hours.
FIR-1006,Cyber Fraud,2025-07-30,73,Closed,Unauthorized UPI/phishing transaction resulting in transfer of INR 253000 from victim account via links.
FIR-1007,Assault,2025-05-27,82,Closed,Physical assault and altercation following argument over parking space in municipal market.
FIR-1008,Burglary,2024-10-21,27,Pending,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1009,Robbery,2024-06-12,39,Closed,Aggravated robbery at local shop counter by suspects carrying sharp instruments. Cash stolen.
FIR-1010,Theft,2026-04-06,60,Completed,Report of theft of gold necklace from a residential area during night hours.
FIR-1011,Burglary,2024-10-23,12,Pending,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1012,Burglary,2024-11-13,71,Pending,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1013,Narcotics,2024-11-02,99,Pending,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1014,Burglary,2025-10-20,84,Pending,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1015,Vehicle Theft,2024-08-23,24,Pending,Vehicle theft of a Royal Enfield bike parked near local metro station. Suspects unknown.
FIR-1016,Narcotics,2026-04-03,14,Pending,Seizure of commercial quantities of contraband narcotics from suspect possession at bus check-post.
FIR-1017,Assault,2024-07-15,30,Under Investigation,Physical assault and altercation following argument over parking space in municipal market.
FIR-1018,Cyber Fraud,2025-06-29,15,Completed,Unauthorized UPI/phishing transaction resulting in transfer of INR 474000 from victim account via links.
FIR-1019,Cyber Fraud,2026-05-12,55,Pending,Unauthorized UPI/phishing transaction resulting in transfer of INR 636000 from victim account via links.
FIR-1020,Burglary,2024-08-20,90,Closed,Daytime house burglary in housing society. Gold jewelry and cash stolen while owners away.
FIR-1021,Theft,2025-07-08,75,Completed,Report of theft of cash box from a residential area during night hours.
